"","HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","Lat","Lon","NumValue"
"148","Measles","All cases","Age standardised rate","N/1000000",2011,"NL","Netherlands",52.1835446,2.6402164,"3.084441340"
"149","Measles","All cases","Age standardised rate","N/1000000",2011,"NO","Norway",63.0622908,-2.8732225,"7.020417440"
"150","Measles","All cases","Age standardised rate","N/1000000",2011,"PL","Poland",51.8354408,13.8542533,"0.981021100"
"151","Measles","All cases","Age standardised rate","N/1000000",2011,"PT","Portugal",35.5226149,-29.4418798,"0.199979110"
"152","Measles","All cases","Age standardised rate","N/1000000",2011,"RO","Romania",45.8199508,19.7359343,"208.776158730"
"153","Measles","All cases","Age standardised rate","N/1000000",2011,"SE","Sweden",60.4293287,-3.2645052,"2.882220540"
"154","Measles","All cases","Age standardised rate","N/1000000",2011,"SI","Slovenia",46.1414895,13.6668529,"10.726847650"
"155","Measles","All cases","Age standardised rate","N/1000000",2011,"SK","Slovakia",48.6423179,17.0599442,"0.348779510"
"156","Measles","All cases","Age standardised rate","N/1000000",2011,"UK","United Kingdom",54.0895811,-15.0113976,"16.926356540"
"157","Measles","All cases","Age standardised rate","N/1000000",2012,"AT","Austria",47.6661908,10.7060663,"4.477816580"
"158","Measles","All cases","Age standardised rate","N/1000000",2012,"BE","Belgium",50.493573,3.1470018,"8.880091920"
"159","Measles","All cases","Age standardised rate","N/1000000",2012,"BG","Bulgaria",42.6950461,22.90301,"0.150056230"
"160","Measles","All cases","Age standardised rate","N/1000000",2012,"CY","Cyprus",35.1670131,32.7657497,"1.062212470"
"161","Measles","All cases","Age standardised rate","N/1000000",2012,"CZ","Czechia",49.7737786,12.8354699,"2.120500490"
"162","Measles","All cases","Age standardised rate","N/1000000",2012,"DE","Germany",51.0567272,5.1734704,"2.403920040"
"163","Measles","All cases","Age standardised rate","N/1000000",2012,"DK","Denmark",56.201989,8.9038344,"0.385741650"
"164","Measles","All cases","Age standardised rate","N/1000000",2012,"EE","Estonia",58.6436119,22.2937524,"3.172657140"
"165","Measles","All cases","Age standardised rate","N/1000000",2012,"EL","Greece",38.027144,19.0352981,"0.295069650"
"166","Measles","All cases","Age standardised rate","N/1000000",2012,"ES","Spain",35.3248265,-17.5870176,"26.629903870"
"167","Measles","All cases","Age standardised rate","N/1000000",2012,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"21.501894000"
"168","Measles","All cases","Age standardised rate","N/1000000",2012,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"22.664140000"
"169","Measles","All cases","Age standardised rate","N/1000000",2012,"FI","Finland",64.4093773,15.3793338,"0.841531970"
"170","Measles","All cases","Age standardised rate","N/1000000",2012,"FR","France",45.6203343,-7.9821305,"12.786817940"
"171","Measles","All cases","Age standardised rate","N/1000000",2012,"HR","Croatia",44.4163476,13.7660704,"0.498918260"
"172","Measles","All cases","Age standardised rate","N/1000000",2012,"HU","Hungary",47.130825,16.8652846,"0.201018600"
"173","Measles","All cases","Age standardised rate","N/1000000",2012,"IE","Ireland",53.2667296,-13.4969127,"18.862310940"
"174","Measles","All cases","Age standardised rate","N/1000000",2012,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"175","Measles","All cases","Age standardised rate","N/1000000",2012,"IT","Italy",40.8030637,2.118703,"11.060056530"
"176","Measles","All cases","Age standardised rate","N/1000000",2012,"LT","Lithuania",55.1450555,21.2444669,"0.748162610"
"177","Measles","All cases","Age standardised rate","N/1000000",2012,"LU","Luxembourg",49.8134791,5.4739377,"3.593358640"
"178","Measles","All cases","Age standardised rate","N/1000000",2012,"LV","Latvia",56.8523539,21.9054152,"1.542993660"
"179","Measles","All cases","Age standardised rate","N/1000000",2012,"MT","Malta",35.935038,14.2135383,"0.000000000"
"180","Measles","All cases","Age standardised rate","N/1000000",2012,"NL","Netherlands",52.1835446,2.6402164,"0.593380120"
"181","Measles","All cases","Age standardised rate","N/1000000",2012,"NO","Norway",63.0622908,-2.8732225,"0.745603320"
"182","Measles","All cases","Age standardised rate","N/1000000",2012,"PL","Poland",51.8354408,13.8542533,"1.835596030"
"183","Measles","All cases","Age standardised rate","N/1000000",2012,"PT","Portugal",35.5226149,-29.4418798,"0.708638030"
"184","Measles","All cases","Age standardised rate","N/1000000",2012,"RO","Romania",45.8199508,19.7359343,"311.370685120"
"185","Measles","All cases","Age standardised rate","N/1000000",2012,"SE","Sweden",60.4293287,-3.2645052,"3.057605000"
"186","Measles","All cases","Age standardised rate","N/1000000",2012,"SI","Slovenia",46.1414895,13.6668529,"0.976303780"
