"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,3,"Lombardy",45.46679409,9.190347404,0,0,13,25,6,7,2,5,27,62,35,74,2.2
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,21,"AP Bolzano",46.49933453,11.35662422,0,0,0,1,0,0,0,0,0,1,0,1,0.6
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,1,0,1,0.6
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,5,"Veneto",45.43490485,12.33845213,0,0,1,5,1,1,-1,0,5,23,5,24,1.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,1,0,5,0,6,1.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,7,"Liguria",44.41149315,8.9326992,0,1,0,2,0,4,0,0,10,23,10,27,5.2
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,5,0,0,0,0,12,22,12,22,1.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,9,"Tuscany",43.76923077,11.25588885,0,0,1,5,0,3,1,1,8,31,9,35,2.8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,10,"Umbria",43.10675841,12.38824698,1,1,0,0,0,0,0,0,0,1,0,1,0.3
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,11,"Marche",43.61675973,13.5188753,0,0,0,1,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,12,"Lazio",41.89277044,12.48366722,1,8,10,21,-1,13,0,9,20,136,19,158,8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,13,"Abruzzo",42.35122196,13.39843823,0,0,2,2,3,3,1,1,14,17,18,21,4.8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,15,"Campania",40.83956555,14.25084984,2,2,0,2,12,26,0,3,15,48,27,77,4
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,16,"Apulia",41.12559576,16.86736689,0,0,0,1,0,1,1,1,2,8,3,10,0.7
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,1,4,1,4,2.1
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,18,"Calabria",38.90597598,16.59440194,2,2,0,0,13,34,1,2,32,78,46,114,17.4
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,19,"Sicily",38.11569725,13.3623566999999,8,21,0,5,58,155,9,42,182,455,249,652,38.7
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,2,0,2,0.4
