"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","Unit","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,0,3,2,9,2,12,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,1,3,1,3,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,8,9,6,6,14,15,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",1,"Piedmont",45.0732745,7.680687483,0,1,1,6,9,134,7,219,32,130,48,483,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",3,"Lombardy",45.46679409,9.190347404,0,1,8,13,1,12,1,7,21,54,23,73,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",21,"AP Bolzano",46.49933453,11.35662422,1,1,0,0,0,0,0,2,1,1,1,3,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",22,"AP Trento",46.06893511,11.12123097,0,0,0,0,2,2,1,1,0,1,3,4,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",5,"Veneto",45.43490485,12.33845213,0,0,1,3,0,0,1,1,13,17,14,18,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",6,"Friuli-Venezia Giulia",45.6494354,13.76813649,2,2,1,1,0,0,0,0,0,1,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",7,"Liguria",44.41149315,8.9326992,1,1,0,4,18,58,0,50,9,66,27,174,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,1,5,6,1,1,60,84,66,91,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",9,"Tuscany",43.76923077,11.25588885,0,0,0,1,0,2,-1,0,4,16,3,18,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",11,"Marche",43.61675973,13.5188753,0,1,0,0,0,0,0,0,1,11,1,11,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",12,"Lazio",41.89277044,12.48366722,0,1,0,0,6,18,2,2,10,36,18,56,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,1,1,0,1,4,13,5,15,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",15,"Campania",40.83956555,14.25084984,0,0,0,0,0,1,0,0,1,1,1,2,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",16,"Apulia",41.12559576,16.86736689,0,0,0,1,2,8,1,4,19,33,22,45,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,-2,1,2,11,0,12,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,0,3,0,3,NA,NA
